trade,datetime_utc,symbol,buy_exchange,sell_exchange,buy_price,sell_price,qty,latency_cost,gross_pnl,net_pnl,cumulative_pnl
37,2025-11-21 07:34:00,SOL/USDT,C2C2,C2C1,125.978134,128.280151,416.41186523,21.1752,916.2368,908.6136,25391.7500
38,2025-12-23 14:57:00,BTC/USDT,C2C2,C2C1,86667.335938,86750.968750,0.60633773,21.0300,8.6497,1.0789,25392.8281
39,2026-01-05 14:49:00,ETH/USDT,C2C2,C2C1,3155.257568,3157.298584,16.65467262,21.0267,-8.0610,-15.6306,25377.1973
40,2026-01-06 16:45:00,ETH/USDT,C2C1,C2C2,3237.905273,3240.560303,16.22907639,21.0279,1.0329,-6.5372,25370.6602
41,2026-01-19 00:05:00,ETH/USDT,C2C1,C2C2,3250.113770,3256.938965,16.16791534,21.0411,68.2670,60.6922,25431.3516
42,2026-01-21 12:15:00,BTC/USDT,C2C1,C2C2,88272.023438,88322.046875,0.59536004,21.0274,-12.2729,-19.8427,25411.5098
43,2026-01-21 19:29:00,BTC/USDT,C2C1,C2C2,89352.523438,89520.500000,0.58813840,21.0404,56.7126,49.1381,25460.6484
44,2026-01-21 19:29:00,ETH/USDT,C2C1,C2C2,2964.523926,2972.328369,17.72850227,21.0503,96.2605,88.6824,25549.3301
45,2026-01-30 00:51:00,BTC/USDT,C2C1,C2C2,84461.101562,84513.710938,0.62236267,21.0327,-9.3233,-16.8951,25532.4355
46,2026-01-30 01:43:00,BTC/USDT,C2C2,C2C1,81345.109375,82189.476562,0.64618206,21.1346,503.3457,495.7372,26028.1719
47,2026-01-30 01:43:00,ETH/USDT,C2C2,C2C1,2695.075684,2743.748291,19.52202606,21.2354,907.7172,900.0724,26928.2441
48,2026-01-30 01:43:00,SOL/USDT,C2C2,C2C1,112.758896,115.629021,467.39871216,21.3496,1298.7933,1291.1074,28219.3516
49,2026-01-31 18:01:00,ETH/USDT,C2C1,C2C2,2408.165039,2414.808838,21.93890381,21.1622,103.4334,95.8150,28315.1660
50,2026-01-31 18:40:00,BTC/USDT,C2C2,C2C1,77610.804688,77702.242188,0.68085986,21.1493,19.9576,12.3438,28327.5098
51,2026-02-01 14:45:00,ETH/USDT,C2C2,C2C1,2352.545898,2355.450195,22.46218109,21.1504,22.9361,15.3220,28342.8320
52,2026-02-01 23:08:00,SOL/USDT,C2C2,C2C1,98.869179,99.610237,534.49261475,21.2172,353.6559,346.0177,28688.8496
53,2026-02-02 03:29:00,ETH/USDT,C2C2,C2C1,2178.864502,2180.992432,24.26926994,21.1621,9.3191,1.7007,28690.5508
54,2026-02-03 15:28:00,BTC/USDT,C2C2,C2C1,77803.437500,77973.562500,0.67965662,21.1750,73.2766,65.6536,28756.2051
55,2026-02-03 15:28:00,ETH/USDT,C2C2,C2C1,2296.066406,2305.895020,23.03338623,21.1998,183.9867,176.3548,28932.5605
